Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
August 31 2017,Jefferson,NY,Passenger,1,0,1,244,245,0.41
August 31 2018,Los Angeles,CA,Passenger,5,4,9,1167,1176,0.77
July 31 2019,Monterey,CA,Passenger,0,1,1,195,196,0.51
July 31 2022,Moore,NC,Passenger,0,1,1,129,130,0.77
April 30 2021,Wise,TX,Passenger,1,0,1,9,10,10
November 30 2024,Williamson,TX,Passenger,1,0,1,48,49,2.04
August 31 2022,Bristol,MA,Passenger,1,0,1,14,15,6.67
December 31 2021,Calvert,MD,Passenger,0,2,2,88,90,2.22
February 29 2024,,,Passenger,5,2,7,256,263,2.66
February 28 2023,Currituck,NC,Passenger,1,0,1,21,22,4.55
February 29 2024,Wake,NC,Passenger,6,0,6,91,97,6.19
May 31 2021,Franklin,WA,Passenger,117,95,212,61912,62124,0.34
July 31 2022,Ada,ID,Passenger,2,0,2,198,200,1
August 31 2019,Pacific,WA,Truck,0,0,0,7674,7674,0
May 31 2020,Whitman,WA,Truck,0,0,0,8511,8511,0
June 30 2020,Río Grande,PR,Passenger,1,0,1,0,1,100
June 30 2021,Snohomish,WA,Truck,1,0,1,126208,126209,0
March 31 2017,Skagit,WA,Truck,1,0,1,31422,31423,0
February 28 2023,Cowlitz,WA,Passenger,425,191,616,70077,70693,0.87
August 31 2023,Yolo,CA,Passenger,2,0,2,26,28,7.14
June 30 2024,Kitsap,WA,Passenger,4591,1673,6264,174827,181091,3.46
March 31 2019,Pierce,WA,Truck,0,0,0,138932,138932,0
March 31 2017,Santa Clara,CA,Passenger,6,2,8,428,436,1.83
September 30 2024,Otero,NM,Passenger,0,1,1,19,20,5
December 31 2021,Howard,MD,Passenger,0,2,2,65,67,2.99
October 31 2020,Grays Harbor,WA,Truck,0,0,0,21114,21114,0
November 30 2018,Cowlitz,WA,Truck,0,0,0,28716,28716,0
February 28 2021,Lincoln,WA,Truck,0,0,0,4687,4687,0
July 31 2021,Ventura,CA,Passenger,1,4,5,283,288,1.74
January 31 2020,Dallas,TX,Passenger,1,0,1,222,223,0.45
December 31 2023,Williamson,TN,Passenger,0,1,1,15,16,6.25
June 30 2020,Manassas,VA,Passenger,0,1,1,5,6,16.67
December 31 2023,Kootenai,ID,Truck,1,0,1,27,28,3.57
April 30 2024,Snohomish,WA,Truck,333,0,333,120130,120463,0.28
October 31 2019,Grays Harbor,WA,Truck,0,0,0,20722,20722,0
November 30 2018,Columbia,WA,Truck,0,0,0,1516,1516,0
November 30 2018,Clallam,WA,Passenger,147,117,264,50319,50583,0.52
July 31 2022,San Mateo,CA,Passenger,3,0,3,97,100,3
December 31 2022,Isle of Wight,VA,Passenger,0,1,1,18,19,5.26
March 31 2024,Medina,TX,Passenger,1,0,1,5,6,16.67
August 31 2018,District of Columbia,DC,Passenger,0,2,2,188,190,1.05
February 29 2024,Fairfax,VA,Passenger,15,8,23,571,594,3.87
September 30 2023,Pima,AZ,Passenger,1,0,1,205,206,0.49
September 30 2020,Flathead,MT,Passenger,2,0,2,68,70,2.86
January 31 2023,Henrico,VA,Passenger,0,1,1,18,19,5.26
September 30 2022,Isle of Wight,VA,Passenger,0,1,1,17,18,5.56
June 30 2021,Clark,WA,Truck,0,0,0,84269,84269,0
February 28 2021,Lewis,WA,Truck,0,0,0,26701,26701,0
June 30 2018,Lewis,WA,Passenger,80,61,141,57691,57832,0.24
June 30 2023,San Diego,CA,Passenger,24,6,30,2288,2318,1.29
July 31 2020,New London,CT,Passenger,1,1,2,232,234,0.85
October 31 2023,Dallas,TX,Passenger,2,0,2,88,90,2.22
March 31 2023,Loudoun,VA,Passenger,3,1,4,64,68,5.88
July 31 2024,Hamilton,OH,Passenger,2,0,2,28,30,6.67
July 31 2022,DuPage,IL,Passenger,2,1,3,54,57,5.26
November 30 2024,San Bernardino,CA,Passenger,4,0,4,254,258,1.55
March 31 2022,Goochland,VA,Passenger,4,2,6,202,208,2.88
February 28 2023,Franklin,OH,Passenger,1,0,1,65,66,1.52
February 28 2022,Klickitat,WA,Passenger,92,54,146,15277,15423,0.95
July 31 2024,Kitsap,WA,Passenger,4714,1715,6429,174634,181063,3.55
May 31 2023,Lewis,WA,Passenger,309,208,517,59027,59544,0.87
March 31 2023,Wayne,MI,Passenger,0,1,1,39,40,2.5
November 30 2024,Island,WA,Truck,81,0,81,20507,20588,0.39
January 31 2021,Washington,OR,Passenger,1,0,1,441,442,0.23
September 30 2023,Albemarle,VA,Passenger,3,0,3,18,21,14.29
June 30 2024,El Paso,TX,Passenger,2,2,4,264,268,1.49
February 28 2019,Shelby,TN,Passenger,0,1,1,104,105,0.95
November 30 2018,Allegheny,PA,Passenger,1,0,1,93,94,1.06
August 31 2024,Williamsburg,VA,Passenger,0,1,1,2,3,33.33
September 30 2024,Kitsap,WA,Passenger,4989,1759,6748,174271,181019,3.73
December 31 2023,Franklin,WA,Passenger,381,161,542,62289,62831,0.86
February 28 2017,Pend Oreille,WA,Truck,0,0,0,5573,5573,0
February 28 2017,Clackamas,OR,Passenger,1,2,3,365,368,0.82
May 31 2022,Charleston,SC,Passenger,1,1,2,72,74,2.7
August 31 2022,Adams,CO,Passenger,1,0,1,45,46,2.17
May 31 2024,Kent,MI,Passenger,1,0,1,15,16,6.25
January 31 2023,Grays Harbor,WA,Passenger,259,164,423,48521,48944,0.86
April 30 2019,Columbia,WA,Passenger,2,2,4,2442,2446,0.16
August 31 2022,Moore,NC,Passenger,0,1,1,126,127,0.79
July 31 2019,Douglas,NE,Passenger,0,1,1,66,67,1.49
June 30 2022,Monterey,CA,Passenger,0,3,3,151,154,1.95
March 31 2021,Manassas,VA,Passenger,0,1,1,7,8,12.5
May 31 2023,Atlantic,NJ,Passenger,1,0,1,9,10,10
September 30 2024,Maricopa,AZ,Passenger,8,1,9,592,601,1.5
September 30 2022,Suffolk,VA,Passenger,1,0,1,127,128,0.78
April 30 2023,Orange,FL,Passenger,2,0,2,76,78,2.56
December 31 2020,San Mateo,CA,Passenger,2,1,3,127,130,2.31
December 31 2019,Allegheny,PA,Passenger,2,0,2,85,87,2.3
May 31 2023,Bexar,TX,Passenger,3,3,6,431,437,1.37
November 30 2017,Skagit,WA,Truck,1,0,1,31675,31676,0
December 31 2024,Monterey,CA,Passenger,0,6,6,110,116,5.17
March 31 2024,Forsyth,GA,Passenger,1,0,1,9,10,10
March 31 2024,Thurston,WA,Passenger,4107,1482,5589,189199,194788,2.87
July 31 2024,Pend Oreille,WA,Passenger,40,21,61,8654,8715,0.7
October 31 2019,Skagit,WA,Truck,1,0,1,32546,32547,0
April 30 2022,Pend Oreille,WA,Truck,0,0,0,5640,5640,0
September 30 2024,Ferry,WA,Truck,0,0,0,3417,3417,0
November 30 2024,Plaquemines,LA,Passenger,1,0,1,17,18,5.56
August 31 2023,San Luis Obispo,CA,Passenger,1,1,2,50,52,3.85
April 30 2022,St. Lawrence,NY,Passenger,1,0,1,6,7,14.29
June 30 2021,Lewis,WA,Passenger,163,141,304,59631,59935,0.51
August 31 2018,Benton,WA,Passenger,189,196,385,132167,132552,0.29
September 30 2024,Okaloosa,FL,Passenger,0,2,2,70,72,2.78
February 28 2018,Chelan,WA,Truck,0,0,0,21660,21660,0
March 31 2022,Kittitas,WA,Truck,0,0,0,14718,14718,0
February 28 2022,San Bernardino,CA,Passenger,2,1,3,395,398,0.75
September 30 2019,San Francisco,CA,Passenger,2,2,4,111,115,3.48
August 31 2021,Denver,CO,Passenger,1,0,1,125,126,0.79
December 31 2023,Richmond,VA,Passenger,1,0,1,8,9,11.11
February 28 2022,Richmond,NY,Passenger,1,0,1,2,3,33.33
January 31 2021,Riverside,CA,Passenger,6,0,6,624,630,0.95
June 30 2021,Asotin,WA,Truck,0,0,0,6786,6786,0
November 30 2020,Harris,TX,Passenger,1,0,1,269,270,0.37
June 30 2017,Orange,CA,Passenger,3,1,4,647,651,0.61
December 31 2022,Fulton,GA,Passenger,1,1,2,76,78,2.56
August 31 2024,San Luis Obispo,CA,Passenger,0,1,1,36,37,2.7
September 30 2024,Newport,RI,Passenger,0,2,2,43,45,4.44
January 31 2021,Wichita,TX,Passenger,1,0,1,45,46,2.17
July 31 2024,Sacramento,CA,Truck,1,0,1,28,29,3.45
December 31 2020,Skagit,WA,Passenger,498,237,735,91337,92072,0.8
July 31 2024,Wichita,TX,Passenger,1,0,1,29,30,3.33
January 31 2021,Randolph,NC,Passenger,1,0,1,6,7,14.29
November 30 2019,Kitsap,WA,Passenger,1190,641,1831,182122,183953,1
June 30 2020,Riverside,CA,Passenger,5,1,6,653,659,0.91
December 31 2021,Grays Harbor,WA,Truck,0,0,0,21374,21374,0
December 31 2017,Hardin,KY,Passenger,0,1,1,117,118,0.85
January 31 2022,Burlington,NJ,Passenger,0,1,1,114,115,0.87
March 31 2022,Whatcom,WA,Passenger,1735,692,2427,148975,151402,1.6
August 31 2017,Grant,WA,Passenger,19,31,50,61188,61238,0.08
February 28 2018,Okanogan,WA,Passenger,7,19,26,25651,25677,0.1
May 31 2021,Grant,WA,Truck,0,0,0,27851,27851,0
November 30 2022,Kittitas,WA,Truck,5,0,5,14560,14565,0.03
February 28 2021,Middlesex,MA,Passenger,1,0,1,101,102,0.98
September 30 2023,Montgomery,PA,Passenger,1,0,1,25,26,3.85
August 31 2023,Mason,WA,Passenger,481,210,691,46099,46790,1.48
September 30 2019,Whitman,WA,Passenger,36,45,81,22693,22774,0.36
April 30 2021,Dallas,IA,Passenger,0,1,1,10,11,9.09
June 30 2022,Garfield,WA,Passenger,0,3,3,1313,1316,0.23
November 30 2023,Hudson,NJ,Passenger,2,0,2,25,27,7.41
August 31 2018,Washtenaw,MI,Passenger,1,0,1,37,38,2.63
September 30 2021,Howard,MD,Passenger,0,1,1,66,67,1.49
January 31 2025,Isle of Wight,VA,Passenger,0,1,1,13,14,7.14
April 30 2024,Williamsburg,VA,Passenger,0,1,1,1,2,50
November 30 2022,Spokane,WA,Passenger,1890,906,2796,323560,326356,0.86
March 31 2021,Utah,UT,Passenger,0,1,1,137,138,0.72
July 31 2020,Oldham,KY,Passenger,0,1,1,5,6,16.67
September 30 2023,Penobscot,ME,Passenger,0,1,1,6,7,14.29
September 30 2023,Kittitas,WA,Passenger,398,111,509,29303,29812,1.71
July 31 2023,Lincoln,WA,Passenger,19,20,39,7617,7656,0.51
April 30 2021,Island,WA,Truck,0,0,0,21499,21499,0
June 30 2019,Portsmouth,VA,Passenger,0,1,1,75,76,1.32
December 31 2021,Monterey,CA,Passenger,0,3,3,158,161,1.86
March 31 2021,Ferry,WA,Truck,0,0,0,3625,3625,0
June 30 2024,Laramie,WY,Passenger,1,0,1,28,29,3.45
July 31 2018,Manassas,VA,Passenger,0,1,1,9,10,10
September 30 2022,Thurston,WA,Passenger,2375,1093,3468,192056,195524,1.77
October 31 2020,Whitman,WA,Passenger,50,46,96,21953,22049,0.44
June 30 2020,Utah,UT,Passenger,0,1,1,145,146,0.68
August 31 2019,Brevard,FL,Passenger,0,1,1,90,91,1.1
June 30 2022,Chatham,NC,Passenger,1,0,1,6,7,14.29
May 31 2019,Snohomish,WA,Passenger,3372,1563,4935,530106,535041,0.92
October 31 2022,Mason,WA,Passenger,346,180,526,46860,47386,1.11
July 31 2024,Travis,TX,Passenger,1,1,2,61,63,3.17
April 30 2017,Harnett,NC,Passenger,1,0,1,261,262,0.38
April 30 2018,Ferry,WA,Truck,0,0,0,3498,3498,0
October 31 2019,New London,CT,Passenger,0,1,1,237,238,0.42
January 31 2025,Sedgwick,KS,Passenger,0,1,1,43,44,2.27
February 28 2017,Allegheny,PA,Passenger,1,0,1,94,95,1.05
March 31 2024,Bay,FL,Passenger,1,0,1,21,22,4.55
February 28 2019,Pend Oreille,WA,Passenger,5,5,10,9479,9489,0.11
January 31 2022,Yakima,WA,Passenger,294,177,471,168131,168602,0.28
November 30 2018,Chelan,WA,Passenger,135,60,195,54052,54247,0.36
September 30 2020,El Paso,CO,Passenger,3,1,4,720,724,0.55
September 30 2019,Sacramento,CA,Passenger,0,1,1,310,311,0.32
March 31 2018,Montgomery,TX,Passenger,1,0,1,65,66,1.52
April 30 2024,Miami-Dade,FL,Passenger,2,0,2,62,64,3.12
September 30 2017,Duval,FL,Passenger,1,1,2,363,365,0.55
March 31 2024,Kauai,HI,Passenger,0,1,1,20,21,4.76
December 31 2023,Contra Costa,CA,Passenger,3,0,3,165,168,1.79
June 30 2017,Volusia,FL,Passenger,0,1,1,49,50,2
April 30 2020,Spokane,WA,Passenger,711,466,1177,316053,317230,0.37
September 30 2022,Solano,CA,Passenger,2,1,3,175,178,1.69
May 31 2018,Ramsey,MN,Passenger,1,0,1,44,45,2.22
October 31 2024,Sussex,NJ,Passenger,1,0,1,0,1,100
September 30 2019,Montgomery,PA,Passenger,2,0,2,38,40,5
August 31 2023,Alameda,CA,Passenger,8,2,10,197,207,4.83
December 31 2024,Lewis,WA,Truck,25,0,25,25301,25326,0.1
August 31 2021,Harrison,MS,Passenger,2,0,2,57,59,3.39
September 30 2023,Rockingham,NH,Passenger,1,0,1,15,16,6.25
July 31 2023,Kittitas,WA,Truck,10,0,10,14594,14604,0.07
August 31 2021,Loudoun,VA,Passenger,1,0,1,78,79,1.27
January 31 2017,Manatee,FL,Passenger,1,0,1,62,63,1.59
June 30 2019,Manassas,VA,Passenger,0,1,1,9,10,10
May 31 2023,Spokane,WA,Truck,38,0,38,101572,101610,0.04
August 31 2024,Jefferson,WA,Passenger,769,315,1084,23906,24990,4.34
March 31 2020,Harford,MD,Passenger,0,1,1,63,64,1.56
February 29 2024,Ferry,WA,Passenger,27,4,31,4282,4313,0.72
January 31 2021,Vigo,IN,Passenger,1,0,1,6,7,14.29
September 30 2019,Island,WA,Truck,0,0,0,21274,21274,0
April 30 2022,Whatcom,WA,Truck,4,0,4,43408,43412,0.01
September 30 2021,San Mateo,CA,Passenger,2,0,2,109,111,1.8
January 31 2023,Burlington,NJ,Passenger,0,2,2,96,98,2.04
January 31 2025,San Bernardino,CA,Passenger,3,0,3,247,250,1.2
January 31 2020,Wise,TX,Passenger,1,0,1,9,10,10
October 31 2024,Osceola,FL,Passenger,1,0,1,17,18,5.56
January 31 2024,Chatham,NC,Passenger,1,0,1,4,5,20
November 30 2022,Garfield,WA,Truck,0,0,0,976,976,0
July 31 2021,Asotin,WA,Passenger,21,17,38,12684,12722,0.3
September 30 2023,Allegheny,PA,Passenger,2,0,2,64,66,3.03
November 30 2022,Los Angeles,CA,Passenger,2,5,7,831,838,0.84
January 31 2020,Pima,AZ,Passenger,3,1,4,405,409,0.98
July 31 2023,Broward,FL,Passenger,1,0,1,68,69,1.45
October 31 2020,Juneau,AK,Passenger,0,1,1,32,33,3.03
November 30 2019,Osceola,FL,Passenger,1,0,1,47,48,2.08
January 31 2020,Benton,WA,Passenger,336,315,651,135252,135903,0.48
January 31 2017,Stevens,WA,Truck,0,0,0,18327,18327,0
March 31 2019,Honolulu,HI,Passenger,2,3,5,520,525,0.95
August 31 2018,Lee,FL,Passenger,1,0,1,58,59,1.69
October 31 2019,Montgomery,PA,Passenger,2,0,2,38,40,5
September 30 2021,Mohave,AZ,Passenger,1,0,1,65,66,1.52
December 31 2024,Laramie,WY,Passenger,1,0,1,19,20,5
June 30 2023,Harnett,NC,Passenger,4,1,5,156,161,3.11
August 31 2022,Denton,TX,Passenger,2,0,2,74,76,2.63
June 30 2021,Río Grande,PR,Passenger,1,0,1,0,1,100
June 30 2023,Kittitas,WA,Passenger,355,106,461,29316,29777,1.55
March 31 2018,Snohomish,WA,Passenger,2132,1148,3280,517760,521040,0.63
January 31 2019,Washington,OR,Passenger,0,1,1,490,491,0.2
June 30 2019,Clackamas,OR,Passenger,1,1,2,228,230,0.87
March 31 2024,Platte,MO,Passenger,2,0,2,17,19,10.53
April 30 2022,Danville,VA,Passenger,1,0,1,0,1,100
September 30 2021,Pacific,WA,Passenger,49,57,106,16046,16152,0.66
February 29 2020,San Francisco,CA,Passenger,2,2,4,108,112,3.57
July 31 2024,Cowlitz,WA,Truck,22,0,22,27859,27881,0.08
August 31 2021,Arapahoe,CO,Passenger,1,0,1,122,123,0.81
October 31 2019,Pinellas,FL,Passenger,1,1,2,123,125,1.6
October 31 2020,Harford,MD,Passenger,0,1,1,64,65,1.54
April 30 2023,Isle of Wight,VA,Passenger,0,1,1,18,19,5.26
December 31 2021,Sussex,NJ,Passenger,1,0,1,2,3,33.33
August 31 2021,Río Grande,PR,Passenger,1,0,1,0,1,100
December 31 2023,Jefferson,IL,Passenger,1,0,1,1,2,50
April 30 2020,Collin,TX,Passenger,2,1,3,141,144,2.08
October 31 2019,Solano,CA,Passenger,1,0,1,214,215,0.47
January 31 2025,Portsmouth,VA,Passenger,0,1,1,51,52,1.92
November 30 2024,Loudoun,VA,Passenger,2,1,3,55,58,5.17
July 31 2020,El Paso,TX,Passenger,2,0,2,417,419,0.48
December 31 2023,New York,NY,Passenger,3,0,3,34,37,8.11
June 30 2024,DeKalb,GA,Passenger,1,0,1,31,32,3.12
January 31 2025,Saratoga,NY,Passenger,1,1,2,29,31,6.45
April 30 2024,Mohave,AZ,Passenger,1,0,1,31,32,3.12
October 31 2023,Clallam,WA,Passenger,635,305,940,48950,49890,1.88
October 31 2018,Cowlitz,WA,Passenger,69,86,155,72145,72300,0.21
November 30 2020,Anne Arundel,MD,Passenger,1,1,2,393,395,0.51
August 31 2021,Wahkiakum,WA,Truck,0,0,0,1797,1797,0
February 28 2017,Latah,ID,Passenger,0,1,1,135,136,0.74
November 30 2020,Montgomery,TX,Passenger,1,0,1,54,55,1.82
February 28 2021,Clallam,WA,Truck,1,0,1,21889,21890,0
October 31 2022,Honolulu,HI,Passenger,5,3,8,401,409,1.96
May 31 2024,Middlesex,NJ,Passenger,1,0,1,20,21,4.76
November 30 2020,Chesapeake,VA,Passenger,0,2,2,424,426,0.47
October 31 2019,Nassau,NY,Passenger,4,0,4,43,47,8.51
May 31 2024,Ada,ID,Passenger,2,0,2,113,115,1.74
April 30 2024,Prince George,VA,Passenger,2,0,2,48,50,4
April 30 2023,Fairfax,VA,Truck,1,0,1,89,90,1.11
December 31 2024,Rockingham,NH,Passenger,1,0,1,13,14,7.14
December 31 2022,Charleston,SC,Passenger,1,2,3,67,70,4.29
April 30 2022,Frederick,MD,Passenger,1,1,2,69,71,2.82
September 30 2023,Otero,NM,Passenger,0,1,1,24,25,4
October 31 2018,Pierce,WA,Passenger,1405,1299,2704,536886,539590,0.5
October 31 2024,Grays Harbor,WA,Passenger,520,254,774,47427,48201,1.61
December 31 2018,Columbia,WA,Passenger,2,2,4,2422,2426,0.16
August 31 2021,Jefferson,WA,Passenger,349,185,534,24817,25351,2.11
June 30 2024,Richmond,GA,Passenger,0,1,1,47,48,2.08
November 30 2023,Miami-Dade,FL,Passenger,2,0,2,70,72,2.78
February 28 2019,Mercer,NJ,Passenger,0,1,1,16,17,5.88
March 31 2021,Rogers,OK,Passenger,1,0,1,9,10,10
May 31 2017,Pierce,WA,Passenger,933,823,1756,525024,526780,0.33
October 31 2021,Cowlitz,WA,Passenger,258,154,412,71807,72219,0.57
August 31 2020,Cascade,MT,Passenger,0,1,1,62,63,1.59
July 31 2023,Clackamas,OR,Passenger,0,1,1,130,131,0.76
November 30 2020,Bartow,GA,Passenger,0,1,1,5,6,16.67
February 28 2019,Kitsap,WA,Passenger,987,561,1548,179713,181261,0.85
March 31 2024,Whatcom,WA,Truck,103,0,103,42389,42492,0.24
October 31 2020,Riverside,CA,Passenger,6,0,6,638,644,0.93
July 31 2023,Yolo,CA,Passenger,2,0,2,25,27,7.41
May 31 2017,Spokane,WA,Passenger,245,210,455,296285,296740,0.15
December 31 2023,Columbia,GA,Passenger,1,0,1,75,76,1.32
September 30 2021,Anne Arundel,MD,Passenger,2,1,3,369,372,0.81
September 30 2024,Madison,AL,Passenger,1,0,1,29,30,3.33
April 30 2021,Sumter,SC,Passenger,0,1,1,35,36,2.78
April 30 2021,Santa Cruz,CA,Passenger,1,0,1,28,29,3.45
October 31 2023,Do�a Ana,NM,Passenger,1,0,1,15,16,6.25
October 31 2021,Oldham,KY,Passenger,0,1,1,5,6,16.67
April 30 2019,Mercer,NJ,Passenger,0,1,1,17,18,5.56
January 31 2025,Spokane,WA,Truck,204,0,204,98335,98539,0.21
December 31 2024,Franklin,WA,Truck,25,0,25,20538,20563,0.12
July 31 2020,Whitman,WA,Passenger,45,49,94,22100,22194,0.42
July 31 2024,Asotin,WA,Passenger,52,28,80,12271,12351,0.65
February 29 2020,Monterey,CA,Passenger,0,1,1,192,193,0.52
October 31 2020,Collin,TX,Passenger,2,1,3,135,138,2.17
April 30 2024,Okaloosa,FL,Passenger,0,2,2,81,83,2.41
January 31 2023,Pierce,WA,Truck,97,0,97,138813,138910,0.07
March 31 2022,King,WA,Truck,25,1,26,181818,181844,0.01
December 31 2019,Kitsap,WA,Truck,1,0,1,54417,54418,0
April 30 2023,Thurston,WA,Passenger,2905,1183,4088,189940,194028,2.11
May 31 2023,Hennepin,MN,Passenger,1,0,1,52,53,1.89
October 31 2020,Monterey,CA,Passenger,0,2,2,167,169,1.18
October 31 2022,El Paso,CO,Passenger,3,5,8,611,619,1.29
April 30 2018,Okaloosa,FL,Passenger,1,0,1,173,174,0.57
March 31 2024,Washoe,NV,Passenger,3,0,3,50,53,5.66
November 30 2023,Rockingham,NH,Passenger,1,0,1,15,16,6.25
February 28 2022,Lane,OR,Passenger,0,2,2,125,127,1.57
May 31 2023,Denton,TX,Passenger,2,0,2,65,67,2.99
November 30 2019,Montgomery,PA,Passenger,2,0,2,38,40,5
December 31 2023,Solano,CA,Passenger,5,0,5,148,153,3.27
November 30 2023,Arlington,VA,Passenger,2,0,2,123,125,1.6
June 30 2023,Brown,WI,Passenger,1,0,1,5,6,16.67
May 31 2022,Rogers,OK,Passenger,1,0,1,7,8,12.5
September 30 2019,Ramsey,MN,Passenger,1,0,1,50,51,1.96
April 30 2023,Chelan,WA,Passenger,602,154,756,54119,54875,1.38
June 30 2020,Pend Oreille,WA,Passenger,7,6,13,9234,9247,0.14
June 30 2017,Okaloosa,FL,Passenger,1,0,1,182,183,0.55
March 31 2022,Camden,NJ,Passenger,0,1,1,13,14,7.14
December 31 2021,Stafford,VA,Passenger,2,1,3,104,107,2.8
May 31 2022,Lexington,SC,Passenger,1,0,1,24,25,4
July 31 2017,Columbia,WA,Truck,0,0,0,1534,1534,0
November 30 2023,Plaquemines,LA,Passenger,1,1,2,19,21,9.52
October 31 2019,Franklin,MA,Passenger,0,1,1,2,3,33.33
April 30 2024,Clark,WA,Truck,180,0,180,80708,80888,0.22
July 31 2022,Grays Harbor,WA,Passenger,213,162,375,48862,49237,0.76
July 31 2024,Tompkins,NY,Passenger,1,0,1,8,9,11.11
March 31 2022,El Paso,CO,Passenger,3,4,7,671,678,1.03
February 28 2019,Jefferson,NY,Passenger,0,1,1,223,224,0.45
November 30 2017,Brevard,FL,Passenger,0,1,1,106,107,0.93
June 30 2018,Clay,FL,Passenger,0,1,1,94,95,1.05
December 31 2024,Pacific,WA,Truck,15,0,15,7650,7665,0.2
June 30 2022,Queens,NY,Passenger,1,0,1,50,51,1.96
August 31 2020,Kern,CA,Passenger,0,1,1,218,219,0.46
June 30 2019,Monroe,IL,Passenger,1,0,1,4,5,20
August 31 2024,Okanogan,WA,Passenger,201,93,294,25958,26252,1.12
December 31 2019,Richland,SC,Passenger,0,1,1,153,154,0.65
December 31 2023,Flathead,MT,Passenger,1,0,1,27,28,3.57
October 31 2024,Spotsylvania,VA,Passenger,0,1,1,23,24,4.17
November 30 2022,Stevens,WA,Passenger,88,56,144,29929,30073,0.48
August 31 2024,Walla Walla,WA,Truck,16,0,16,13633,13649,0.12
March 31 2021,St. Mary's,MD,Passenger,1,0,1,222,223,0.45
June 30 2018,Fulton,GA,Passenger,1,2,3,103,106,2.83
January 31 2021,Flathead,MT,Passenger,2,0,2,60,62,3.23
June 30 2021,Milwaukee,WI,Passenger,1,0,1,47,48,2.08
March 31 2024,Laramie,WY,Passenger,1,0,1,30,31,3.23
January 31 2023,Kittitas,WA,Truck,5,0,5,14542,14547,0.03
February 28 2022,Geary,KS,Passenger,1,0,1,97,98,1.02
February 28 2023,Klickitat,WA,Passenger,126,58,184,15095,15279,1.2
February 28 2023,Kent,DE,Passenger,1,0,1,54,55,1.82
January 31 2022,Norfolk,VA,Passenger,2,3,5,303,308,1.62
March 31 2023,Deschutes,OR,Passenger,2,0,2,97,99,2.02
April 30 2024,Arapahoe,CO,Passenger,2,1,3,64,67,4.48
March 31 2019,Benton,WA,Truck,0,0,0,41528,41528,0
March 31 2020,Clallam,WA,Truck,1,0,1,21811,21812,0
October 31 2020,Ventura,CA,Passenger,1,1,2,295,297,0.67
June 30 2018,Fairfax,VA,Passenger,3,1,4,826,830,0.48
February 28 2023,Nueces,TX,Passenger,0,1,1,63,64,1.56
April 30 2022,Randolph,NC,Passenger,1,0,1,4,5,20
September 30 2018,Carroll,NH,Passenger,0,1,1,1,2,50
December 31 2019,Placer,CA,Passenger,1,0,1,106,107,0.93
January 31 2023,Hardin,KY,Passenger,1,0,1,65,66,1.52
June 30 2024,,,Passenger,3,3,6,241,247,2.43
July 31 2017,Hawaii,HI,Passenger,1,0,1,84,85,1.18
January 31 2018,Orleans,LA,Passenger,0,1,1,44,45,2.22
October 31 2019,Berkshire,MA,Passenger,0,1,1,4,5,20
July 31 2022,Isle of Wight,VA,Passenger,0,1,1,19,20,5
July 31 2019,Carson City,NV,Passenger,1,0,1,10,11,9.09
April 30 2020,Benton,WA,Passenger,347,322,669,134485,135154,0.49
November 30 2023,Pacific,WA,Passenger,87,102,189,15503,15692,1.2
December 31 2020,Kittitas,WA,Truck,0,0,0,14642,14642,0
March 31 2022,Douglas,WA,Truck,0,0,0,12719,12719,0
January 31 2021,Oldham,KY,Passenger,0,1,1,5,6,16.67
June 30 2017,Spokane,WA,Truck,1,0,1,90614,90615,0
May 31 2020,Walla Walla,WA,Passenger,70,62,132,35790,35922,0.37
February 28 2017,Ventura,CA,Passenger,0,2,2,390,392,0.51
January 31 2019,Arlington,VA,Passenger,1,2,3,169,172,1.74
September 30 2021,Orange,NC,Passenger,1,0,1,12,13,7.69
February 28 2019,Wahkiakum,WA,Passenger,1,1,2,3018,3020,0.07
January 31 2024,El Dorado,CA,Passenger,2,0,2,22,24,8.33
October 31 2021,Collier,FL,Passenger,1,0,1,19,20,5
June 30 2018,Douglas,WA,Truck,0,0,0,11945,11945,0
August 31 2024,Ventura,CA,Passenger,2,3,5,198,203,2.46
February 28 2017,Grays Harbor,WA,Truck,0,0,0,19812,19812,0
January 31 2021,Solano,CA,Passenger,1,0,1,208,209,0.48
April 30 2018,Orange,FL,Passenger,2,1,3,175,178,1.69
October 31 2023,Cumberland,NC,Passenger,1,3,4,337,341,1.17
June 30 2023,Williamson,TN,Passenger,0,1,1,16,17,5.88
April 30 2023,Sarpy,NE,Passenger,1,0,1,67,68,1.47
July 31 2020,Randolph,NC,Passenger,1,0,1,7,8,12.5
June 30 2024,Spokane,WA,Passenger,3367,1648,5015,321116,326131,1.54
August 31 2022,DuPage,IL,Passenger,2,1,3,52,55,5.45
January 31 2023,Kauai,HI,Passenger,1,1,2,19,21,9.52
April 30 2023,Galveston,TX,Passenger,1,1,2,21,23,8.7
October 31 2018,Fulton,GA,Passenger,1,3,4,109,113,3.54
April 30 2019,Tarrant,TX,Passenger,3,0,3,209,212,1.42
June 30 2019,Camden,NJ,Passenger,0,1,1,23,24,4.17
June 30 2018,Snohomish,WA,Truck,1,0,1,121634,121635,0
